"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"K3";"JST-2pin-SMD";1;"JST-2pin-SMD";;;
2;",,,,,,,,,,,,,,,";"buzzardLabel";16;"";;;
3;"G***";"Logo-Back-OSH-3.5mm";1;"LOGO";;;
4;"H2,H1,H3,H4";"HOLE_3.2mm";4;"HOLE_3.2mm";;;
5;"D1";"0402LED";1;"Green";;;
6;"C3,C7";"ELECTROLITIC_CAP_8x8x14.5";2;"VKMD1451H221MV";;;
7;"K1,K6";"TERMINAL_KF235-5.0-2P";2;"TERMINAL_KF235-5.0-2P";;;
8;"REF**";"Logo-Front-SolderedFULL-13mm";1;"Logo-Front-SolderedFULL-13mm";;;
9;"R3";"0603R";1;"30k";;;
10;"C6,C1";"1206C";2;"10uF";;;
11;"K2";"HEADER_FEMALE_4X2";1;"HEADER_FEMALE_4X2";;;
12;"JP1";"SMD-JUMPER-CONNECTED_TRACE_SLODERMASK";1;"SMD-JUMPER-CONNECTED_TRACE_SLODERMASK";;;
13;"C5";"0603C";1;"220nF";;;
14;"G***";"Symbol-Front-Battery";1;"LOGO";;;
15;"U1";"CN3791";1;"CN3791";;;
16;"C2";"0603C";1;"1uF";;;
17;"D5";"0402LED";1;"purple";;;
18;"D3";"DPAK";1;"AOD4185";;;
19;"D4";"RBR5LAM30ATFTR";1;"RBR5LAM30ATFTR";;;
20;"D2";"0402LED";1;"Red";;;
21;"R1,R9";"0402R";2;"2k2";;;
22;"R8";"1210R";1;"40m";;;
23;"R6";"0603R";1;"130k";;;
24;"REF**";"Logo-Back-SolderedFULL-20mm";1;"Logo-Front-SolderedFULL-20mm";;;
25;"R4";"0603R";1;"62k";;;
26;"R7";"0603R";1;"75k";;;
27;"FD1";"FIDUCIAL_23";1;"FIDUCIAL";;;
28;"R5";"0603R";1;"300k";;;
29;"L1";"YPRH1209-470M";1;"YPRH1209-470M";;;
30;"C4";"0603C";1;"100nF";;;
31;"R2";"0603R";1;"120R";;;
32;"Ref**";"Version1.0.0.";1;"Val**";;;
