"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"H2,H1,H3,H4";"HOLE_3.2mm";4;"HOLE_3.2mm";;;
2;"D1";"0402LED";1;"Green";;;
3;"C3,C7";"ELECTROLITIC_CAP_8x8x14.5";2;"VKMD1451H221MV";;;
4;"K1,K6";"TERMINAL_KF235-5.0-2P";2;"TERMINAL_KF235-5.0-2P";;;
5;"R3";"0603R";1;"30k";;;
6;"C6,C1";"1206C";2;"10u";;;
7;"K2";"HEADER_FEMALE_4X2";1;"HEADER_FEMALE_4X2";;;
8;"JP1";"SMD-JUMPER-CONNECTED_TRACE_SLODERMASK";1;"SMD-JUMPER-CONNECTED_TRACE_SLODERMASK";;;
9;"C5";"0603C";1;"220n";;;
10;"K3";"JST-2pin-SMD";1;"JST-2pin-SMD";;;
11;"U1";"CN3791";1;"CN3791";;;
12;"C2";"0603C";1;"1u";;;
13;"D5";"0402LED";1;"purple";;;
14;"D3";"DPAK";1;"AOD4185";;;
15;"D4";"RBR5LAM30ATFTR";1;"RBR5LAM30ATFTR";;;
16;"D2";"0402LED";1;"Red";;;
17;"R1";"0402R";1;"4k7";;;
18;"R8";"1210R";1;"40m";;;
19;"R6";"0603R";1;"130k";;;
20;"R4";"0603R";1;"62k";;;
21;"R7";"0603R";1;"75k";;;
22;"R9,R10";"0402R";2;"2k2";;;
23;"R5";"0603R";1;"300k";;;
24;"L1";"YPRH1209-470M";1;"YPRH1209-470M";;;
25;"C4";"0603C";1;"100n";;;
26;"R2";"0603R";1;"120R";;;
27;"REF**";"Version1.2.1.";1;"Version1.2.1.";;;
