"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"K2";"HEADER_MALE_4X2";1;"HEADER_MALE_4X2";;;
2;"REF**";"Version1.2.1.";1;"Version1.2.1.";;;
3;"H2,H1,H3,H4";"HOLE_3.2mm";4;"HOLE_3.2mm";;;
4;"D1";"0402LED";1;"Green";;;
5;"C3,C7";"ELECTROLITIC_CAP_8x8x14.5";2;"VKMD1451H221MV";;;
6;"K1,K6";"TERMINAL_KF235-5.0-2P";2;"TERMINAL_KF235-5.0-2P";;;
7;"R3";"0603R";1;"30k";;;
8;"C6,C1";"1206C";2;"10u";;;
9;"JP1";"SMD-JUMPER-CONNECTED_TRACE_SLODERMASK";1;"SMD-JUMPER-CONNECTED_TRACE_SLODERMASK";;;
10;"C5";"0603C";1;"220n";;;
11;"K3";"JST-2pin-SMD";1;"JST-2pin-SMD";;;
12;"U1";"CN3791";1;"CN3791";;;
13;"C2";"0603C";1;"1u";;;
14;"D5";"0402LED";1;"purple";;;
15;"D3";"DPAK";1;"AOD4185";;;
16;"D4";"RBR5LAM30ATFTR";1;"RBR5LAM30ATFTR";;;
17;"D2";"0402LED";1;"Red";;;
18;"R1";"0402R";1;"4k7";;;
19;"R8";"1210R";1;"40m";;;
20;"R6";"0603R";1;"130k";;;
21;"R4";"0603R";1;"62k";;;
22;"R7";"0603R";1;"75k";;;
23;"R9,R10";"0402R";2;"2k2";;;
24;"R5";"0603R";1;"300k";;;
25;"L1";"YPRH1209-470M";1;"YPRH1209-470M";;;
26;"C4";"0603C";1;"100n";;;
27;"R2";"0603R";1;"120R";;;
